,
Procedure + Quantity,CHARGE
Fna bx w/o img gdn ea addl - 1,107
Fna bx w/us gdn 1st les - 1,1159
Fna bx w/us gdn ea addl - 1,1159
Fna bx w/fluor gdn 1st les - 1,1159
Fna bx w/fluor gdn ea addl - 1,1159
Fna bx w/ct gdn 1st les - 1,1159
Fna bx w/ct gdn ea addl - 1,1159
Fna bx w/mr gdn 1st les - 1,1159
Fna bx w/mr gdn ea addl - 1,1159
Fna bx w/o img gdn 1st les - 1,585
Fine Ndle Aspir(any Site) W Image - 1,2289
Guide cathet fluid drainage - 1,1078
Perq dev soft tiss 1st imag - 1,962
Perq dev soft tiss add imag - 1,962
Acne surgery - 1,321
Drainage of skin abscess - 1,458
Drainage of skin abscess - 1,474
Drainage of pilonidal cyst - 1,1078
Drainage of pilonidal cyst - 1,1159
Remove foreign body - 1,845
Remove foreign body - 1,3060
Drainage of hematoma/fluid - 1,2837
Puncture drainage of lesion - 1,528
Complex drainage wound - 1,3483
Debride infected skin - 1,906
Debride infected skin add-on - 1,125
Debride skin at fx site - 1,1159
Debride skin musc at fx site - 1,1159
Deb skin bone at fx site - 1,4757
Deb subq tissue 20 sq cm/< - 1,551
Deb musc/fascia 20 sq cm/< - 1,906
Deb bone 20 sq cm/< - 1,1945
Trim skin lesion - 1,296
Trim skin lesions 2 to 4 - 1,292
Trim skin lesions over 4 - 1,305
Skin Bx Subq Sngle Lesion - 1,585
"Skin Biopsy,ea Add'l Lesion - 1",109
Tangntl bx skin single les - 1,585
Tangntl bx skin ea sep/addl - 1,100
Punch bx skin single lesion - 1,585
Punch bx skin ea sep/addl - 1,100
Incal bx skn single les - 1,628
Incal bx skn ea sep/addl - 1,100
Removal of skin tags <w/15 - 1,325
Remove skin tags add-on - 1,167
Shave skin lesion 0.5 cm/< - 1,292
Shave skin lesion 0.6-1.0 cm - 1,292
Shave skin lesion 1.1-2.0 cm - 1,292
Shave skin lesion >2.0 cm - 1,585
Shave skin lesion 0.5 cm/< - 1,424
Shave skin lesion 0.6-1.0 cm - 1,292
Shave skin lesion 1.1-2.0 cm - 1,292
Shave skin lesion >2.0 cm - 1,585
Shave skin lesion 0.5 cm/< - 1,292
Shave skin lesion 0.6-1.0 cm - 1,292
Shave skin lesion 1.1-2.0 cm - 1,585
Shave skin lesion >2.0 cm - 1,503
Exc tr-ext b9+marg 0.5 cm< - 1,876
Exc tr-ext b9+marg 0.6-1 cm - 1,701
Exc tr-ext b9+marg 1.1-2 cm - 1,876
