DRG Description	 IP CHARGE 	 UNITEDHEALTHCARE ESSENTIAL PLANS 1 - 4 
Tracheostomy w MV 96+ hours w extensive procedure or ECMO	441866.71	60524.15
Tracheostomy w MV 96+ hours w extensive procedure or ECMO	441866.71	60524.15
Tracheostomy w MV 96+ hours w extensive procedure or ECMO	441866.71	84472.63
Tracheostomy w MV 96+ hours w extensive procedure or ECMO	441866.71	150962.49
Tracheostomy w MV 96+ hours w/o extensive procedure	211123.72	48121.96
Tracheostomy w MV 96+ hours w/o extensive procedure	211123.72	49347.63
Tracheostomy w MV 96+ hours w/o extensive procedure	211123.72	77509.95
Tracheostomy w MV 96+ hours w/o extensive procedure	211123.72	115375.48
Craniotomy for trauma	133034.11	15626.97
Craniotomy for trauma	133034.11	19530.86
Craniotomy for trauma	133034.11	30225.41
Craniotomy for trauma	133034.11	56380.94
Craniotomy except for trauma	73701.88	16528.57
Craniotomy except for trauma	73701.88	23035.88
Craniotomy except for trauma	73701.88	36785.9
Craniotomy except for trauma	73701.88	60962.9
Ventricular shunt procedures		11382.39
Ventricular shunt procedures		14333.99
Ventricular shunt procedures		22992.67
Ventricular shunt procedures		45557.59
Spinal procedures		14425.39
Spinal procedures		19120.36
Spinal procedures		36490.9
Spinal procedures		67948.84
Extracranial vascular procedures	91405.13	13267.86
Extracranial vascular procedures	91405.13	18492.98
Extracranial vascular procedures	91405.13	31454.41
Extracranial vascular procedures	91405.13	57241.83
Other nervous system & related procedures	75149.19	10982.7
Other nervous system & related procedures	75149.19	15713.39
Other nervous system & related procedures	75149.19	22962.75
Other nervous system & related procedures	75149.19	52939.91
Spinal disorders & injuries	69757	7569.08
Spinal disorders & injuries	69757	11461.33
Spinal disorders & injuries	69757	19872.39
Spinal disorders & injuries	69757	23358.29
Nervous system malignancy	20746.6	7028.12
Nervous system malignancy	20746.6	7988.72
Nervous system malignancy	20746.6	13036.85
Nervous system malignancy	20746.6	23485.43
Degenerative nervous system disorders exc mult sclerosis	190498.11	6084.14
Degenerative nervous system disorders exc mult sclerosis	190498.11	8124.17
Degenerative nervous system disorders exc mult sclerosis	190498.11	15960.19
Degenerative nervous system disorders exc mult sclerosis	190498.11	16938.24
Multiple sclerosis & other demyelinating diseases	24123.71	7303.17
Multiple sclerosis & other demyelinating diseases	24123.71	9720.46
Multiple sclerosis & other demyelinating diseases	24123.71	19553.29
Multiple sclerosis & other demyelinating diseases	24123.71	49963.38
Intracranial hemorrhage	35636.34	9099.72
Intracranial hemorrhage	35636.34	12947.1
Intracranial hemorrhage	35636.34	18368.33
Intracranial hemorrhage	35636.34	23879.31
CVA & precerebral occlusion w infarct	47857.57	7414.52
CVA & precerebral occlusion w infarct	47857.57	10023.76
CVA & precerebral occlusion w infarct	47857.57	15092.66
CVA & precerebral occlusion w infarct	47857.57	29209.97
Nonspecific CVA & precerebral occlusion w/o infarct	10452.5	6036.78
Nonspecific CVA & precerebral occlusion w/o infarct	10452.5	7839.15
Nonspecific CVA & precerebral occlusion w/o infarct	10452.5	9978.06
Nonspecific CVA & precerebral occlusion w/o infarct	10452.5	10391.05
Transient ischemia	19087.6	5055.4
Transient ischemia	19087.6	6048.41
Transient ischemia	19087.6	8065.17
Transient ischemia	19087.6	8238.84
"Peripheral, cranial & autonomic nerve disorders"	13292.14	5391.12
"Peripheral, cranial & autonomic nerve disorders"	13292.14	6932.56
"Peripheral, cranial & autonomic nerve disorders"	13292.14	9980.55
"Peripheral, cranial & autonomic nerve disorders"	13292.14	29742.62
Bacterial & tuberculous infections of nervous system	63446	10468.33
Bacterial & tuberculous infections of nervous system	63446	21472.83
Bacterial & tuberculous infections of nervous system	63446	27384.33
Bacterial & tuberculous infections of nervous system	63446	50377.2
Non-bacterial infections of nervous system exc viral meningitis	100219	7025.63
Non-bacterial infections of nervous system exc viral meningitis	100219	12028.05
Non-bacterial infections of nervous system exc viral meningitis	100219	19108.73
Non-bacterial infections of nervous system exc viral meningitis	100219	45216.89
Viral meningitis	32340	5917.95
Viral meningitis	32340	7297.35
Viral meningitis	32340	13393.33
Viral meningitis	32340	15172.43
Nontraumatic stupor & coma	43760.31	5403.58
Nontraumatic stupor & coma	43760.31	6828.69
Nontraumatic stupor & coma	43760.31	9118
Nontraumatic stupor & coma	43760.31	19712.01
Seizure	15568.32	4844.34
Seizure	15568.32	5626.28
Seizure	15568.32	7602.32
Seizure	15568.32	23033.39
Migraine & other headaches	13338.43	4878.41
Migraine & other headaches	13338.43	5876.4
Migraine & other headaches	13338.43	7353.03
Migraine & other headaches	13338.43	7473.52
Head trauma w coma >1 hr or hemorrhage	40167.07	5416.88
Head trauma w coma >1 hr or hemorrhage	40167.07	8080.96
Head trauma w coma >1 hr or hemorrhage	40167.07	13260.38
Head trauma w coma >1 hr or hemorrhage	40167.07	28902.51
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma"	11523	5104.43
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma"	11523	7450.25
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma"	11523	12644.63
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma"	11523	32399.22
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma"	23605.8	4087.33
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma"	23605.8	5275.61
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma"	23605.8	8836.31
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma"	23605.8	25334.34
Other disorders of nervous system	44771.72	5263.98
Other disorders of nervous system	44771.72	7294.86
Other disorders of nervous system	44771.72	11295.14
Other disorders of nervous system	44771.72	28944.89
Orbital procedures	22498.24	7471.86
Orbital procedures	22498.24	11041.69
Orbital procedures	22498.24	17731.81
Orbital procedures	22498.24	20073.48
Eye procedures except orbit	17435.83	6265.29
Eye procedures except orbit	17435.83	7819.2
Eye procedures except orbit	17435.83	21270.9
Eye procedures except orbit	17435.83	22199.93
Acute major eye infections	25525.31	5357.05
Acute major eye infections	25525.31	6625.1
Acute major eye infections	25525.31	10853.9
Acute major eye infections	25525.31	12023.9
Eye disorders except major infections	10413.57	4856.8
Eye disorders except major infections	10413.57	5721.01
Eye disorders except major infections	10413.57	9315.77
Eye disorders except major infections	10413.57	9555.09
Major cranial/facial bone procedures	98092.54	12118.63
Major cranial/facial bone procedures	98092.54	18756.4
Major cranial/facial bone procedures	98092.54	32449.08
Major cranial/facial bone procedures	98092.54	57449.57
Major larynx & trachea procedures		7092.94
Major larynx & trachea procedures		19669.63
Major larynx & trachea procedures		34747.53
Major larynx & trachea procedures		94110.19
Other major head & neck procedures		11879.31
Other major head & neck procedures		24463.48
Other major head & neck procedures		31407.05
Other major head & neck procedures		35213.71
Facial bone procedures except major cranial/facial bone procedures	26531.89	9527.67
Facial bone procedures except major cranial/facial bone procedures	26531.89	12127.77
Facial bone procedures except major cranial/facial bone procedures	26531.89	18897.66
Facial bone procedures except major cranial/facial bone procedures	26531.89	61893.58
Sinus & mastoid procedures		8243
Sinus & mastoid procedures		11041.69
Sinus & mastoid procedures		20467.36
Sinus & mastoid procedures		23898.42
Cleft lip & palate repair		6746.42
Cleft lip & palate repair		8326.09
Cleft lip & palate repair		12309.75
Cleft lip & palate repair		21924.88
Tonsil & adenoid procedures	8668.97	4812.76
Tonsil & adenoid procedures	8668.97	6527.88
Tonsil & adenoid procedures	8668.97	13080.06
Tonsil & adenoid procedures	8668.97	33813.53
"Other ear, nose, mouth & throat procedures"	24236.64	6478.85
"Other ear, nose, mouth & throat procedures"	24236.64	8893.64
"Other ear, nose, mouth & throat procedures"	24236.64	16272.63
"Other ear, nose, mouth & throat procedures"	24236.64	35369.93
"Ear, nose, mouth, throat, cranial/facial malignancies"		6748.92
"Ear, nose, mouth, throat, cranial/facial malignancies"		8288.7
"Ear, nose, mouth, throat, cranial/facial malignancies"		15526.43
"Ear, nose, mouth, throat, cranial/facial malignancies"		30934.22
Vertigo & other labyrinth disorders		4427.19
Vertigo & other labyrinth disorders		5290.57
Vertigo & other labyrinth disorders		7126.18
Vertigo & other labyrinth disorders		7241.68
Infections of upper respiratory tract		4014.2
Infections of upper respiratory tract		4922.45
Infections of upper respiratory tract		7259.13
Infections of upper respiratory tract		18126.52
Dental & oral diseases & injuries		4767.06
Dental & oral diseases & injuries		5819.89
Dental & oral diseases & injuries		10759.17
Dental & oral diseases & injuries		21294.17
"Other ear, nose, mouth,throat & cranial/facial diagnoses"		4458.77
"Other ear, nose, mouth,throat & cranial/facial diagnoses"		5786.66
"Other ear, nose, mouth,throat & cranial/facial diagnoses"		9040.72
"Other ear, nose, mouth,throat & cranial/facial diagnoses"		22575.52
Major respiratory & chest procedures		15187.39
Major respiratory & chest procedures		18331.77
Major respiratory & chest procedures		28745.46
Major respiratory & chest procedures		51401.79
Other respiratory & chest procedures		10833.12
Other respiratory & chest procedures		14312.38
Other respiratory & chest procedures		24418.61
Other respiratory & chest procedures		51121.75
Respiratory system diagnosis w ventilator support 96+ hours		29293.06
Respiratory system diagnosis w ventilator support 96+ hours		29293.06
Respiratory system diagnosis w ventilator support 96+ hours		36349.64
Respiratory system diagnosis w ventilator support 96+ hours		51252.21
Cystic fibrosis - pulmonary disease		12256.57
Cystic fibrosis - pulmonary disease		15163.29
Cystic fibrosis - pulmonary disease		22007.14
Cystic fibrosis - pulmonary disease		23503.71
BPD & oth chronic respiratory diseases arising in perinatal period		5693.59
BPD & oth chronic respiratory diseases arising in perinatal period		7306.5
BPD & oth chronic respiratory diseases arising in perinatal period		11738.88
BPD & oth chronic respiratory diseases arising in perinatal period		20739.08
Respiratory Failure		8446.58
Respiratory Failure		8462.37
Respiratory Failure		12146.88
Respiratory Failure		17550.66
Pulmonary embolism		6645.04
Pulmonary embolism		8559.59
Pulmonary embolism		13331.84
Pulmonary embolism		22032.07
Major chest & respiratory trauma		5090.3
Major chest & respiratory trauma		6779.66
Major chest & respiratory trauma		10982.7
Major chest & respiratory trauma		15877.09
Respiratory malignancy		5517.42
Respiratory malignancy		8300.33
Respiratory malignancy		13749.82
Respiratory malignancy		19848.29
Major respiratory infections & inflammations		6571.09
Major respiratory infections & inflammations		9354.83
Major respiratory infections & inflammations		14722.88
Major respiratory infections & inflammations		22494.92
Bronchiolitis & RSV pneumonia		4841.85
Bronchiolitis & RSV pneumonia		6026.81
Bronchiolitis & RSV pneumonia		12130.26
Bronchiolitis & RSV pneumonia		25915.18
Other pneumonia		5057.9
Other pneumonia		6425.67
Other pneumonia		10246.46
Other pneumonia		18819.55
Chronic obstructive pulmonary disease		5568.11
Chronic obstructive pulmonary disease		6788.8
Chronic obstructive pulmonary disease		9201.1
Chronic obstructive pulmonary disease		17162.6
Asthma		4724.68
Asthma		5918.78
Asthma		8581.2
Asthma		14515.97
Interstitial & alveolar lung diseases		6332.6
Interstitial & alveolar lung diseases		7928.06
Interstitial & alveolar lung diseases		11847.73
Interstitial & alveolar lung diseases		23903.41
"Other respiratory diagnoses except signs, symptoms & minor diagnoses"		5202.49
"Other respiratory diagnoses except signs, symptoms & minor diagnoses"		7096.26
"Other respiratory diagnoses except signs, symptoms & minor diagnoses"		11448.87
"Other respiratory diagnoses except signs, symptoms & minor diagnoses"		17888.04
"Respiratory signs, symptoms & minor diagnoses"		4551.01
"Respiratory signs, symptoms & minor diagnoses"		5516.59
"Respiratory signs, symptoms & minor diagnoses"		7970.44
"Respiratory signs, symptoms & minor diagnoses"		14906.52
Major cardiothoracic repair of heart anomaly		26933.12
Major cardiothoracic repair of heart anomaly		29023.83
Major cardiothoracic repair of heart anomaly		40510.29
Major cardiothoracic repair of heart anomaly		83419.79
Cardiac defibrillator & heart assist implant		34146.75
Cardiac defibrillator & heart assist implant		51707.58
Cardiac defibrillator & heart assist implant		82553.1
Cardiac defibrillator & heart assist implant		192583.16
Cardiac valve procedures w AMI or complex PDX		29558.14
Cardiac valve procedures w AMI or complex PDX		38034.01
Cardiac valve procedures w AMI or complex PDX		48459.33
Cardiac valve procedures w AMI or complex PDX		78773.02
Cardiac valve procedures w/o AMI or complex PDX		25923.49
Cardiac valve procedures w/o AMI or complex PDX		31535.85
Cardiac valve procedures w/o AMI or complex PDX		38561.68
Cardiac valve procedures w/o AMI or complex PDX		59347.5
Coronary bypass w AMI or complex PDX		33475.32
Coronary bypass w AMI or complex PDX		33587.5
Coronary bypass w AMI or complex PDX		41185.87
Coronary bypass w AMI or complex PDX		59593.46
Coronary bypass w/o AMI or complex PDX		25748.99
Coronary bypass w/o AMI or complex PDX		27892.05
Coronary bypass w/o AMI or complex PDX		34159.21
Coronary bypass w/o AMI or complex PDX		52568.46
Other cardiothoracic & thoracic vascular procedures		20946
Other cardiothoracic & thoracic vascular procedures		24386.2
Other cardiothoracic & thoracic vascular procedures		31378.79
Other cardiothoracic & thoracic vascular procedures		55892.33
Major abdominal vascular procedures		15607.86
Major abdominal vascular procedures		19805.08
Major abdominal vascular procedures		31662.98
Major abdominal vascular procedures		60476.78
"Permanent cardiac pacemaker implant w AMI, heart failure or shock"		23271.87
"Permanent cardiac pacemaker implant w AMI, heart failure or shock"		23519.5
"Permanent cardiac pacemaker implant w AMI, heart failure or shock"		30728.98
"Permanent cardiac pacemaker implant w AMI, heart failure or shock"		40779.53
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock"		15246.39
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock"		18605.16
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock"		25617.69
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock"		50346.46
Percutaneous coronary intervention w AMI		15455.79
Percutaneous coronary intervention w AMI		16929.1
Percutaneous coronary intervention w AMI		21616.59
Percutaneous coronary intervention w AMI		32605.3
Percutaneous coronary intervention w/o AMI		13049.31
Percutaneous coronary intervention w/o AMI		14700.44
Percutaneous coronary intervention w/o AMI		20885.34
Percutaneous coronary intervention w/o AMI		41595.54
Cardiac pacemaker & defibrillator device replacement		12696.15
Cardiac pacemaker & defibrillator device replacement		22730.08
Cardiac pacemaker & defibrillator device replacement		28747.95
Cardiac pacemaker & defibrillator device replacement		30297.7
Cardiac pacemaker & defibrillator revision except device replacement		12374.57
Cardiac pacemaker & defibrillator revision except device replacement		15307.88
Cardiac pacemaker & defibrillator revision except device replacement		23064.13
Cardiac pacemaker & defibrillator revision except device replacement		53427.68
Other circulatory system procedures		10253.94
Other circulatory system procedures		14468.6
Other circulatory system procedures		20894.48
Other circulatory system procedures		40834.37
Lower extremity arterial procedures #		12713.6
Lower extremity arterial procedures #		19716.16
Lower extremity arterial procedures #		34778.28
Lower extremity arterial procedures #		55770.18
Other peripheral vascular procedures #		13257.05
Other peripheral vascular procedures #		18389.11
Other peripheral vascular procedures #		27579.61
Other peripheral vascular procedures #		52907.5
Acute myocardial infarction		6902.64
Acute myocardial infarction		8752.38
Acute myocardial infarction		12844.89
Acute myocardial infarction		24165.99
Cardiac catheterization for coronary artery disease		6747.25
Cardiac catheterization for coronary artery disease		8070.15
Cardiac catheterization for coronary artery disease		12644.63
Cardiac catheterization for coronary artery disease		22789.08
Cardiac catheterization for other non-coronary conditions		6756.39
Cardiac catheterization for other non-coronary conditions		9260.1
Cardiac catheterization for other non-coronary conditions		15911.99
Cardiac catheterization for other non-coronary conditions		35002.64
