DRG Description,IP CHARGE,UNITEDHEALTHCARE ESSENTIAL PLANS 1 - 4
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,441866.7065,60524.14671
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,441866.7065,60524.14671
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,441866.7065,84472.63006
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,441866.7065,150962.4946
Tracheostomy w MV 96+ hours w/o extensive procedure,211123.7169,48121.95677
Tracheostomy w MV 96+ hours w/o extensive procedure,211123.7169,49347.63383
Tracheostomy w MV 96+ hours w/o extensive procedure,211123.7169,77509.95337
Tracheostomy w MV 96+ hours w/o extensive procedure,211123.7169,115375.4804
Craniotomy for trauma,133034.1119,15626.97268
Craniotomy for trauma,133034.1119,19530.858
Craniotomy for trauma,133034.1119,30225.40972
Craniotomy for trauma,133034.1119,56380.94275
Craniotomy except for trauma,73701.88133,16528.57242
Craniotomy except for trauma,73701.88133,23035.87891
Craniotomy except for trauma,73701.88133,36785.89813
Craniotomy except for trauma,73701.88133,60962.89755
Ventricular shunt procedures,,11382.39069
Ventricular shunt procedures,,14333.98725
Ventricular shunt procedures,,22992.6686
Ventricular shunt procedures,,45557.59106
Spinal procedures,,14425.39368
Spinal procedures,,19120.36005
Spinal procedures,,36490.90467
Spinal procedures,,67948.84132
Extracranial vascular procedures,91405.1287,13267.85595
Extracranial vascular procedures,91405.1287,18492.97959
Extracranial vascular procedures,91405.1287,31454.41065
Extracranial vascular procedures,91405.1287,57241.82508
Other nervous system & related procedures,75149.192,10982.69532
Other nervous system & related procedures,75149.192,15713.3933
Other nervous system & related procedures,75149.192,22962.75377
Other nervous system & related procedures,75149.192,52939.90633
Spinal disorders & injuries,69757,7569.080833
Spinal disorders & injuries,69757,11461.3326
Spinal disorders & injuries,69757,19872.38564
Spinal disorders & injuries,69757,23358.2943
Nervous system malignancy,20746.6,7028.12099
Nervous system malignancy,20746.6,7988.71942
Nervous system malignancy,20746.6,13036.84698
Nervous system malignancy,20746.6,23485.43233
Degenerative nervous system disorders exc mult sclerosis,190498.1111,6084.14191
Degenerative nervous system disorders exc mult sclerosis,190498.1111,8124.167123
Degenerative nervous system disorders exc mult sclerosis,190498.1111,15960.19065
Degenerative nervous system disorders exc mult sclerosis,190498.1111,16938.2394
Multiple sclerosis & other demyelinating diseases,24123.71429,7303.171233
Multiple sclerosis & other demyelinating diseases,24123.71429,9720.45569
Multiple sclerosis & other demyelinating diseases,24123.71429,19553.29412
Multiple sclerosis & other demyelinating diseases,24123.71429,49963.38075
Intracranial hemorrhage,35636.3373,9099.722968
Intracranial hemorrhage,35636.3373,12947.10249
Intracranial hemorrhage,35636.3373,18368.33446
Intracranial hemorrhage,35636.3373,23879.31092
CVA & precerebral occlusion w infarct,47857.56864,7414.520878
CVA & precerebral occlusion w infarct,47857.56864,10023.75883
CVA & precerebral occlusion w infarct,47857.56864,15092.66058
CVA & precerebral occlusion w infarct,47857.56864,29209.96744
Nonspecific CVA & precerebral occlusion w/o infarct,10452.5,6036.776763
Nonspecific CVA & precerebral occlusion w/o infarct,10452.5,7839.14527
Nonspecific CVA & precerebral occlusion w/o infarct,10452.5,9978.055615
Nonspecific CVA & precerebral occlusion w/o infarct,10452.5,10391.04646
Transient ischemia,19087.6,5055.404145
Transient ischemia,19087.6,6048.410308
Transient ischemia,19087.6,8065.16843
Transient ischemia,19087.6,8238.840638
"Peripheral, cranial & autonomic nerve disorders",13292.14286,5391.115015
"Peripheral, cranial & autonomic nerve disorders",13292.14286,6932.559728
"Peripheral, cranial & autonomic nerve disorders",13292.14286,9980.548518
"Peripheral, cranial & autonomic nerve disorders",13292.14286,29742.6176
Bacterial & tuberculous infections of nervous system,63446,10468.32644
Bacterial & tuberculous infections of nervous system,63446,21472.82904
Bacterial & tuberculous infections of nervous system,63446,27384.33184
Bacterial & tuberculous infections of nervous system,63446,50377.20256
Non-bacterial infections of nervous system exc viral meningitis,100219,7025.628088
Non-bacterial infections of nervous system exc viral meningitis,100219,12028.05244
Non-bacterial infections of nervous system exc viral meningitis,100219,19108.72651
Non-bacterial infections of nervous system exc viral meningitis,100219,45216.89439
Viral meningitis,32340,5917.94841
Viral meningitis,32340,7297.35446
Viral meningitis,32340,13393.33204
Viral meningitis,32340,15172.43346
Nontraumatic stupor & coma,43760.30769,5403.579528
Nontraumatic stupor & coma,43760.30769,6828.68879
Nontraumatic stupor & coma,43760.30769,9118.004253
Nontraumatic stupor & coma,43760.30769,19712.00891
Seizure,15568.31714,4844.3384
Seizure,15568.31714,5626.278818
Seizure,15568.31714,7602.319533
Seizure,15568.31714,23033.38601
Migraine & other headaches,13338.42857,4878.408068
Migraine & other headaches,13338.42857,5876.400035
Migraine & other headaches,13338.42857,7353.029283
Migraine & other headaches,13338.42857,7473.51957
Head trauma w coma >1 hr or hemorrhage,40167.06732,5416.875008
Head trauma w coma >1 hr or hemorrhage,40167.06732,8080.956813
Head trauma w coma >1 hr or hemorrhage,40167.06732,13260.37724
Head trauma w coma >1 hr or hemorrhage,40167.06732,28902.50946
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma",11523,5104.431228
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma",11523,7450.25248
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma",11523,12644.63032
"Brain contusion/laceration & complicated skull Fx, coma < 1 hr or no coma",11523,32399.2207
