IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT
2022451,HC KIDNEY TRANSPLANT (CADAVER),Acquisition of Body Components - Cadaver Donor,"$410,628.00 "
2022453,HC LIVER TRANSPLANT (CADAVER),Acquisition of Body Components - Cadaver Donor,"$425,524.00 "
2022457,HC KIDNEY/PANCREAS TRANSPLANT CAD,Acquisition of Body Components - Cadaver Donor,"$466,664.70 "
2025007,HC OTHER TRANSPLANT,Acquisition of Body Components - Cadaver Donor,"$323,171.99 "
2025900,HC LUNG TRANSPLANT (CADAVER),Acquisition of Body Components - Cadaver Donor,"$410,628.00 "
2025937,HC HEART TRANSPLANT (CADAVER),Acquisition of Body Components - Cadaver Donor,"$544,000.00 "
2026787,HC HEART/LUNG TRANSPLANT CAD,Acquisition of Body Components - Cadaver Donor,"$711,765.60 "
2022452,HC KIDNEY TRANSPLANT (LIVE),Acquisition of Body Components - Living Donor,"$387,140.00 "
2022454,HC LIVER TRANSPLANT (LIVE),Acquisition of Body Components - Living Donor,"$589,632.00 "
2026257,HC BMT AUTOLOGOUS BY NYBC,Acquisition of Body Components - Stem Cells - Allogeneic (Effective 1/1/17),"$5,277.00 "
2026261,HC BMT ALLOGENEIC UNRELATED CORD BLOOD,Acquisition of Body Components - Stem Cells - Allogeneic (Effective 1/1/17),"$275,358.00 "
2022434,HC BLOOD SPLIT UNIT,"Administration, Processing, and Storage for Blood and Blood Components","$3,300.00 "
2022435,HC CRYOPRECIPITATE EACH UNIT,"Administration, Processing, and Storage for Blood and Blood Components",$396.72 
2022436,HC RBC LEUKOCYTES REDUCED,"Administration, Processing, and Storage for Blood and Blood Components","$2,233.04 "
2022438,HC RED BLOOD CELLS UNIT,"Administration, Processing, and Storage for Blood and Blood Components","$2,722.80 "
2022439,HC WASHED RED BLOOD CELLS UNIT,"Administration, Processing, and Storage for Blood and Blood Components","$3,829.80 "
2022441,HC PLATELET PHERES LEUKOREDUCED,"Administration, Processing, and Storage for Blood and Blood Components","$7,729.92 "
2022442,HC PLATE PHERES LEUKOREDU IRRAD,"Administration, Processing, and Storage for Blood and Blood Components","$7,779.96 "
2022443,HC RBC DEGLYCEROLIZED,"Administration, Processing, and Storage for Blood and Blood Components","$9,230.76 "
2022447,"HC PLATELETS, HLA-M, L/R, UNIT","Administration, Processing, and Storage for Blood and Blood Components","$15,456.96 "
2022448,"HC PLASMA, FRZ BETWEEN 8-24HOUR","Administration, Processing, and Storage for Blood and Blood Components",$495.84 
2025244,HC DETERGNT TX FROZ PLASMA EA UNIT,"Administration, Processing, and Storage for Blood and Blood Components","$1,177.68 "
2020472,HC BLOOD TRANSFUSION SERVICE,"Administration, Processing, and Storage for Blood and Blood Components - Administration (e.g., Transfusion)","$3,153.20 "
2025454,HC GROUND MILEAGE PER STATUTE MILE,Ambulance,$51.75 
2025455,HC ALS1-EMERGENCY,Ambulance,"$2,875.00 "
2025456,HC BLS - EMERGENCY,Ambulance,"$1,725.00 "
2025490,HC AMB EKG,Ambulance,$621.00 
2025763,HC ALS 2,Ambulance,"$4,025.00 "
2010000,HC OPERATING ROOM FLAT FEE,Ambulatory Surgical Care,"$4,303.53 "
2010001,HC OPERATING ROOM PER MINUTE,Ambulatory Surgical Care,$143.45 
2022677,HC TERMINATED PROCEDURE,Ambulatory Surgical Care,"$4,620.96 "
2022680,HC ROBOTIC SURGERY,Ambulatory Surgical Care,"$43,176.00 "
2026244,HC ROBOTIC SURGERY - DAVINCI SINGLE PORT,Ambulatory Surgical Care,"$43,175.54 "
2026538,HC ROBOTIC SURGERY - INTUITIVE ION,Ambulatory Surgical Care,"$43,175.54 "
2026567,HC COMPUTER ASSISTED NAVIGATION IMAGE-LESS,Ambulatory Surgical Care,"$29,342.60 "
2026568,HC COMPUTER ASSISTED NAVIGATION CT/MRI,Ambulatory Surgical Care,"$29,342.60 "
2022685,HC ANESTHESIA BASE FEE,Anesthesia,$521.05 
2022686,HC ANESTHESIA PER MINUTE,Anesthesia,$4.83 
2025794,HC MOD SED SAME PHYS/QHP <5 YRS,Anesthesia,$392.44 
2025796,HC MOD SED SAME PHYS/QHP EA,Anesthesia,$130.81 
2026163,HC MOD SED SAME PHYS/QHP 5/>YRS,Anesthesia,$254.34 
2021990,HC EVOKED AUDITORY TEST,Audiology,$315.13 
2022766,HC NEWBORN AUDITORY EP,Audiology,$531.30 
2023067,HC NASOPHARYNGOSCOPY W ENDOSCOPE,Audiology,"$3,313.38 "
2021986,"HC PURE TONE AUDIOMETRY, AIR",Audiology - Diagnostic,$269.27 
2021987,HC COMPREHENSIVE HEARING TEST,Audiology - Diagnostic,$305.50 
2021989,"HC AUDITOR EVOKE POTENT, COMPRE",Audiology - Diagnostic,$856.12 
2022763,HC TYMPANOMETRY & REFL THR,Audiology - Diagnostic,$186.05 
2022765,HC VRA,Audiology - Diagnostic,$362.25 
2022922,HC BASIC VESTIBULAR EVAL,Audiology - Diagnostic,$315.13 
2022989,HC SCREEN TONE AIR ONLY,Audiology - Diagnostic,$231.58 
2025549,HC CALORIC VSTBLR TEST W/REC BITHERMAL,Audiology - Diagnostic,$798.22 
2021969,HC ELECTROCONVULSIVE THERAPY,Behavior Health Treatments/Services - Electroshock Treatment,"$2,058.15 "
2021964,HC FAMILY PSYTX W/O PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$833.32 
2021965,HC FAMILY PSYTX W/PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$981.34 
2021966,HC MULTIPLE FAMILY GROUP PSYTX,Behavioral Health Treatment/Services - Family Therapy,$304.60 
2025660,HC FQHC FAMILY PSYTX W/O PATIENT 50 MIN - SMI,Behavioral Health Treatment/Services - Family Therapy,$833.24 
2025661,HC FQHC FAMILY PSYTX W/O PATIENT 50 MIN - SED,Behavioral Health Treatment/Services - Family Therapy,$833.24 
2025662,HC FQHC FAMILY PSYTX W/PATIENT 50 MIN - SMI,Behavioral Health Treatment/Services - Family Therapy,$981.34 
2025663,HC FQHC FAMILY PSYTX W/PATIENT 50 MIN - SED,Behavioral Health Treatment/Services - Family Therapy,$981.34 
2025968,HC TELEHEALTH FAMILY PSYTX W/PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$981.71 
2026596,HC HLTH BHV IVNTJ FAM 1ST 30 MIN,Behavioral Health Treatment/Services - Family Therapy,$105.25 
2026597,HC HLTH BHV IVNTJ FAM WO PT 1ST 30 MIN,Behavioral Health Treatment/Services - Family Therapy,$172.12 
2026598,HC HLTH BHV IVNTJ FAM W/O PT EA ADDL 15 MIN,Behavioral Health Treatment/Services - Family Therapy,$86.06 
2026682,HC HLTH BHV IVNTJ FAM EA ADDL,Behavioral Health Treatment/Services - Family Therapy,$52.62 
2026890,HC FHC TELE SBH FAMILY PSYTX W/PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$981.34 
2026891,HC FHC TELE SBH PSYTX W/O PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$833.32 
2026943,HC SBHC/LCM AUDIO ONLY FAMILY PSYTX W/O PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$786.16 
2026944,HC SBHC/LCM AUDIO ONLY FAMILY PSYTX W/PT 50 MIN,Behavioral Health Treatment/Services - Family Therapy,$925.80 
2021967,HC COG REMED SKILLS GRP 90MIN,Behavioral Health Treatment/Services - Group Therapy,$260.47 
2023030,HC ENVIR INTERV GRP 30MIN,Behavioral Health Treatment/Services - Group Therapy,$89.04 
2024622,HC COG REMED SKILLS GRP 120MIN,Behavioral Health Treatment/Services - Group Therapy,$521.52 
2025664,HC FQHC COG REMED SKILLS GRP - SMI,Behavioral Health Treatment/Services - Group Therapy,$261.10 
2025665,HC FQHC COG REMED SKILLS GRP - SED,Behavioral Health Treatment/Services - Group Therapy,$261.10 
2026594,HC HLTH BHV IVNTJ GRP 1ST 30,Behavioral Health Treatment/Services - Group Therapy,$106.00 
2026595,HC HLTH BHV IVNTJ GRP EA ADDL 15 MIN,Behavioral Health Treatment/Services - Group Therapy,$79.50 
2026899,HC FHC TELE SBH COG REMED SKILLS GRP 90MIN,Behavioral Health Treatment/Services - Group Therapy,$260.47 
2026945,HC SBHC/LCM AUDIO ONLY COG REMED SKILLS GRP,Behavioral Health Treatment/Services - Group Therapy,$245.73 
2021949,HC PSYTX W PT 30 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,"$1,047.00 "
2021951,HC PSYTX W PT 45 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,"$1,377.22 "
2021953,HC PSYTX W PT 60 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,"$2,051.75 "
2021958,HC PSYTX W PT 30 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,"$1,047.00 "
2022558,HC CONSULTATION WITH FAMILY,Behavioral Health Treatment/Services - Individual Therapy,$189.43 
2024316,HC PSYCH DIAGNOSTIC EVALUATION,Behavioral Health Treatment/Services - Individual Therapy,$685.67 
2024317,HC PSYCH DIAG EVAL W/MED SRVCS,Behavioral Health Treatment/Services - Individual Therapy,$760.04 
2024318,HC PSYTX W PT W E/M 30 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,073.87 "
2024319,HC PSYTX W PT W E/M 45 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,349.07 "
2024320,HC PSYTX W PT W E/M 60 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,762.49 "
2024322,HC PSYTX COMPLEX INTERACTIVE,Behavioral Health Treatment/Services - Individual Therapy,$60.54 
2025668,HC FQHC PSYTX PTW/E&M 45 MIN - SMI,Behavioral Health Treatment/Services - Individual Therapy,"$1,349.07 "
2025672,HC FQHC PSYTX PT 60 MINUTES - SMI,Behavioral Health Treatment/Services - Individual Therapy,"$2,051.75 "
